 ID товара: , ISBN , Возраст , Год издания , Издательство , Кол-во страниц , Переводчик , Редактор , Серия , Тип обложки , Тираж , Формат , Художник ,ID карточки,Автор,Голоса,Название,Обложка,Рейтинг,Цена
 2344225 , 9785373049245 ,, 2017 , Олма Медиагрупп , 318 ,,, Коты-воители , Твердая бумажная , 15000 , 20.5 x 12.8 x 1.5 ,,379997, Хантер Э. ,0,Судьба Небесного племени. Сомнение,https://img-gorod.ru/upload/iblock/e5b/e5bd51fbef2352a024c776439cac50c2.jpg,0.0,304.0
 2197090 , 9785373024402 , 6+ , 2017 , Олма Медиагрупп , 352 , Максимова Вероника ,, Коты-воители , Твердая бумажная , 5000 , 21 x 13 x 2.5 , Насыров Леонид ,380215, Хантер Э. ,1,Опасная тропа,https://img-gorod.ru/upload/iblock/698/698dca681ac588620e9e2be68d378aec.jpg,5.0,304.0
 2200241 , 9785373024341 ,, 2017 , Просвещение , 318 ,, Максимова Вероника , Коты-воители , Твердая бумажная , 4000 , 20.7 x 13.4 x 2.1 , Насыров Леонид ,380218, Хантер Э. ,3,Бушующая стихия,https://img-gorod.ru/upload/iblock/09d/09dd1e1213532c18b0bf80a29b66cd60.jpg,4.0,304.0
 2344643 , 9785699616350 ,, 2013 , Эксмо , 416 ,,, Таня Гроттер , Твердая бумажная , 3000 , 20.5 x 13 x 2.8 ,,380237, Емец Д. ,0,Таня Гроттер и Исчезающий Этаж,https://img-gorod.ru/upload/iblock/b10/b10192d90d9b396faa8be4530f9b7a11.jpg,0.0,
 2345987 , 9785699621651 , 12+ , 2013 , Эксмо , 384 ,,, Таня Гроттер , Твердая бумажная , 3000 , 20.5 x 13 x 2.5 ,,382060, Емец Д. ,0,Таня Гроттер и золотая пиявка,https://img-gorod.ru/upload/iblock/7a0/7a05e0aa8da211e29a5c9d1abba1d131.jpg,0.0,
 2347400 , 9785699597697 , 12+ , 2013 , Эксмо , 480 ,,, Фантастические приключения , Твердая глянцевая , 3100 , 20.6 x 13 x 3.2 ,,383626, Емец Д. ,0,Великое нечто,https://img-gorod.ru/upload/iblock/f72/f72e565b78c2ea2ab012ec4e0f953fda.jpg,0.0,
 2348747 , 9785367026238 , 12+ , 2013 ," Амфора, ООО ", 382 ,,,, Мягкая глянцевая , 3000 , 18 x 11.4 x 2.3 ,,389640, Фрай М. ,1,Вторая линия. Рассказы и истории разных лет,https://img-gorod.ru/upload/iblock/a89/a894a8fb518a157e9773a26fe258d517.jpg,5.0,
 2348748 , 9785367026047 , 12+ , 2013 ," Амфора, ООО ", 349 ,,,, Мягкая глянцевая , 3000 , 18 x 11.6 x 2.1 ,,389641, Фрай М. ,0,Первая линия. Рассказы и истории разных лет,https://img-gorod.ru/upload/iblock/1f9/1f9b4a2a87384489e284ed1fbf4a8ab8.jpg,0.0,
 2349807 , 9785367026573 , 12+ , 2013 ," Амфора, ООО ", 639 ,,, ФРАМ , Мягкая глянцевая , 3000 , 18 x 11.3 x 3.5 , Степин Игорь ,392051, Фрай М. ,0,Гнезда Химер. Хроники Хугайды,https://img-gorod.ru/upload/iblock/abd/abd87a34eb17fb7a1f65e55666fc59ae.jpg,0.0,156.0
 2349808 , 9785367026634 , 12+ , 2013 ," Амфора, ООО ", 607 ,,, ФРАМ , Мягкая глянцевая , 3000 , 18 x 11.3 x 3.5 ,,392052, Фрай М. ,2,Мой Рагнарек,https://img-gorod.ru/upload/iblock/861/861bcf8b3e2b55e337286700e122b7f6.jpg,5.0,
 2349868 , 9785699628902 , 12+ , 2013 , Эксмо , 432 ,,, Таня Гроттер , Мягкая бумажная , 3000 , 20.5 x 13 x 3 ,,392068, Емец Д. ,0,Таня Гроттер и трон Древнира,https://img-gorod.ru/upload/iblock/839/83931d8ca47ec5c3cd395dc92cd1b271.jpg,0.0,
 2204170 , 9785373024723 ,, 2017 , Олма Медиагрупп , 320 , Максимова В.А. ,, Коты-воители , Твердая бумажная , 4000 , 20.7 x 13.2 x 2 , Насыров Л.Х. ,398475, Хантер Э. ,0,Восход луны,https://img-gorod.ru/upload/iblock/5ed/5edddbe2ae3526a3aa3d0ae8a3e9d083.jpg,0.0,304.0
 2350036 , 9785699629978 , 12+ , 2013 , Эксмо , 416 ,, Суворова Т. , Мефодий Буслаев , Твердая глянцевая , 20000 , 20.5 x 13 x 2.8 ,,398918, Емец Д. ,1,Мефодий Буслаев. Книга Семи Дорог,https://img-gorod.ru/upload/iblock/3c2/3c23bb693e2539b896ccc15f47cb1f20.jpg,5.0,
 2352988 , 9785367026429 , 12+ , 2013 ," Амфора, ООО ", 383 ,,, Хроники Ехо , Твердая бумажная , 35000 , 20.5 x 13 x 2.5 ,,400412, Фрай М. ,1,"Тубурская игра: история, расказанная сэром Нумминорихом Кутой",https://img-gorod.ru/upload/iblock/d0f/d0f0b2f3ecb167ac217a36fb6b7f4c37.jpg,5.0,441.0
 2354878 , 9785699636907 , 12+ , 2013 , Эксмо , 240 ,, Суворова Т. , Веселые каникулы. Повести для школьников , Твердая бумажная , 4100 , 21.7 x 14.3 x 1.8 ,,402196, Емец Д. ,0,Город динозавров,https://img-gorod.ru/upload/iblock/e76/e76a510f401cfe61ef772c0e1cbf7ec3.jpg,0.0,
 2356577 , 9785699609406 , 12+ , 2013 , Эксмо , 352 ,, Суворова Т. , Фантастические приключения , Твердая глянцевая , 3500 , 20.5 x 12.8 x 2.2 ,,405261, Емец Д. ,0,Звездолет из каменного века,https://img-gorod.ru/upload/iblock/285/285ef429e21ce335da45df67e0421a18.jpg,0.0,
 2032133 , 9785367022827 ,, 2004 ," Амфора, ООО ", 255 ,, Стукалина Марина , Лабиринты Ехо , Мягкая бумажная ,,,,411548, Фрай М. ,0,Волонтеры вечности,https://img-gorod.ru/upload/iblock/e2a/e2af771c176640a88239958b2668ec06.jpg,0.0,
 2032134 , 9785367022766 ,, 2004 ," Амфора, ООО ", 355 ,, Стукалина Марина , Лабиринты Ехо , Мягкая бумажная ,, 18 x 11.5 x 2 ,,411549, Фрай М. ,0,Дебют в Ехо,https://img-gorod.ru/upload/iblock/f68/f680323fc9e81c7fe4eab4820a4f2d02.jpg,0.0,
 2032135 , 9785367022773 ,, 2004 ," Амфора, ООО ", 382 ,, Стукалина Марина , Лабиринты Ехо , Мягкая бумажная ,,,,411550, Фрай М. ,0,Жертвы обстоятельств,https://img-gorod.ru/upload/iblock/473/473ab55e1bb108ae3a197f06953f8deb.jpg,0.0,
 2032136 , 9785942786274 , 12+ , 2014 ," Амфора, ООО ", 254 ,, Стукалина Марина , Лабиринты Ехо , Мягкая глянцевая , 3000 , 18 x 11.5 x 1 ,,411551, Фрай М. ,0,Магахонские Лисы,https://img-gorod.ru/upload/iblock/32c/32ce74e14e867b8825a2ef81b2e664d2.jpg,0.0,154.0
 2032137 , 9785942786281 , 12+ , 2014 ," Амфора, ООО ", 255 ,, Стукалина Марина , Лабиринты Ехо , Мягкая бумажная , 3000 , 18 x 11.5 x 1 ,,411552, Фрай М. ,1,Путешествие в Кеттари,https://img-gorod.ru/upload/iblock/2a2/2a22689e0413cb36dd1fdbca1c5c013b.jpg,5.0,142.0
 2032138 , 9785367022810 , 12+ , 2013 ," Амфора, ООО ", 158 ,, Стукалина Марина , Лабиринты Ехо , Мягкая глянцевая , 3000 , 18 x 11.5 x 1 ,,411553, Фрай М. ,0,Очки Бакки Бугвина,https://img-gorod.ru/upload/iblock/cfd/cfd1c1fb78b18bb515941515879b55d0.jpg,0.0,155.0
 2035209 , 9785367023152 , 12+ , 2013 ," Амфора, ООО ", 287 ,, Стукалина Марина , Лабиринты Ехо , Мягкая бумажная ,, 18 x 11.6 x 1.6 ,,411625, Фрай М. ,0,Возвращение Угурбандо,https://img-gorod.ru/upload/iblock/a31/a3175a460ea9518d84e360ed2a6de978.jpg,0.0,182.0
 2035210 , 9785942786618 ,, 2012 ," Амфора, ООО ", 271 ,, Стукалина Марина , Лабиринты Ехо , Мягкая бумажная , 3000 , 18 x 11.5 x 1.1 ,,411626, Фрай М. ,0,Дорот - повелитель Манухов,https://img-gorod.ru/upload/iblock/c7d/c7d6d3d47947137068a25c6ac64756fc.jpg,0.0,149.0
 2035211 , 9785367023015 , 12+ , 2013 ," Амфора, ООО ", 255 ,, Стукалина Марина , Лабиринты Ехо , Мягкая глянцевая , 3000 , 18 x 11.3 x 1.5 ,,411627, Фрай М. ,0,Зеленые воды Ишмы,https://img-gorod.ru/upload/iblock/239/2398596c11ed7025003c3d959449b25c.jpg,0.0,149.0
 2035212 , 9785942786595 , 12+ , 2013 ," Амфора, ООО ", 253 ,, Стукалина Марина , Лабиринты Ехо , Мягкая бумажная , 3000 , 18 x 11.6 x 1.5 ,,411628, Фрай М. ,0,Гугландские топи,https://img-gorod.ru/upload/iblock/f23/f23d374b07619bf5687ddcafb8caacf9.jpg,0.0,149.0
 2035213 , 9785942786229 , 12+ , 2014 ," Амфора, ООО ", 315 ,, Стукалина Марина , Лабиринты Ехо , Мягкая бумажная , 3000 , 18 x 11.7 x 2 ,,411629, Фрай М. ,0,Корабль из Арвароха и другие неприятности,https://img-gorod.ru/upload/iblock/049/0491db1b15ac06f0d51a1b2638e175c9.jpg,0.0,182.0
 2035977 , 9785942786649 ,, 2013 ," Амфора, ООО ", 319 ,, Стукалина Марина , Лабиринты Ехо , Мягкая глянцевая , 3000 , 18 x 11.5 x 1.2 ,,411682, Фрай М. ,0,Сладкие грезы Гравви,https://img-gorod.ru/upload/iblock/9cb/9cb59a5cb607601145e8f6efcf989083.jpg,0.0,133.0
 2035978 , 9785942786588 , 12+ , 2013 ," Амфора, ООО ", 222 ,, Стукалина Марина , Лабиринты Ехо , Мягкая глянцевая , 3000 , 18 x 11.5 x 1.4 ,,411683, Фрай М. ,0,Тайна клуба Дубовых Листьев,https://img-gorod.ru/upload/iblock/71f/71f1d172e772469ed2a4ab55521e51a7.jpg,0.0,155.0
 2036416 , 9785942786731 , 12+ , 2013 ," Амфора, ООО ", 286 ,, Стукалина Марина , Лабиринты Ехо , Мягкая глянцевая , 3000 , 18 x 11.5 x 1.7 ,,411692, Фрай М. ,1,Темные вассалы Гленке Тавала,https://img-gorod.ru/upload/iblock/601/601d55c9911db3d5601eafe8b3e618f3.jpg,5.0,163.0
 2036418 , 9785367022841 ,, 2004 ," Амфора, ООО ", 287 ,, Стукалина Марина , лабиринты ехо , Мягкая глянцевая ,,,,411693, Фрай М. ,1,Простые волшебные вещи,https://img-gorod.ru/upload/iblock/a09/a09a2384402756fa35bc1d28b01a916a.jpg,5.0,
 2037376 , 9785942786830 ,, 2012 ," Амфора, ООО ", 220 ,,, Лабиринты Ехо , Мягкая бумажная , 3000 , 18 x 11.3 x 0.9 ,,411732, Фрай М. ,1,Книга Огненных Страниц,https://img-gorod.ru/upload/iblock/b29/b2988a01d52929afa8e4a3727abb6b8d.jpg,5.0,166.0
 2037377 , 9785367023237 ,, 2012 ," Амфора, ООО ", 319 ,, Жаворонок Светлана , Лабиринты Ехо , Мягкая бумажная , 3000 , 18 x 11.6 x 1.2 ,,411733, Фрай М. ,0,Наследство для Лонли-Локли,https://img-gorod.ru/upload/iblock/810/810628bec5b3fb28a1ce3fd51cca6d3d.jpg,0.0,182.0
 2037888 , 9785367023725 , 12+ , 2013 ," Амфора, ООО ", 223 ,,, Лабиринты Ехо , Мягкая глянцевая , 10000 , 17.9 x 11.5 x 1.3 ,,411750, Фрай М. ,0,Тихий Город,https://img-gorod.ru/upload/iblock/457/4577a4ce4427b9465936107a61d03d09.jpg,0.0,182.0
 2105877 , 5699192131 ,, 2006 , Эксмо , 416 ,,, Хулиганское фэнтези Д. Емеца , Твердая глянцевая ,, 20.7 x 13.5 x 2.6 ,,415924, Емец Д. ,0,Вселенский неудачник,https://img-gorod.ru/upload/iblock/511/511e639160a17e3a86d60a56178c82a0.jpg,0.0,
 2111942 , 9785373008266 ,, 2007 , Олма Медиагрупп , 320 ,,, Коты-воители , Твердая бумажная ,, 20.7 x 13.3 x 1.7 ,,417841, Хантер Э. ,0,Закат,https://img-gorod.ru/upload/iblock/0a5/0a54d2aa57484a638ba84e785083acfb.jpg,0.0,
 2114041 , 9785699206162 ,, 2007 , Эксмо , 256 ,,,, Твердая бумажная ,, 18.3 x 13.2 x 2 ,,418433, Емец Д. ,0,Мефодий Буслаев Стражи мрака зажигают,https://img-gorod.ru/upload/iblock/21a/21a3f1a9aec5f2303a8bcf4eabe96544.jpg,0.0,
 2122870 , 9785699217861 ,, 2007 , Эксмо , 352 ,,, Волшебные миры Дмитрия Емца , Твердая бумажная ,, 20.6 x 13.4 x 2.5 ,,420649, Емец Д. ,0,Сокровища мутантиков,https://img-gorod.ru/upload/iblock/5c5/5c59b16ae282d0df38679c715d4cabc9.jpg,0.0,
 2146052 , 9785699248971 ,, 2007 , Эксмо , 384 ,,,, Твердая бумажная ,, 19.8 x 12.3 x 2.9 ,,426432, Емец Д. ,0,Таня Гроттер и Мефодий Буслаев Улетные фразочки цитатки…,https://img-gorod.ru/upload/iblock/bd6/bd69684161df0e0fba48ee9934b8d888.jpg,0.0,
 2159095 , 9785699277193 ,, 2008 , Эксмо , 416 ,,, Таня Гроттер , Твердая глянцевая ,, 20.7 x 13.5 x 3.2 ,,430597, Емец Д. ,0,Таня Гроттер и пенсне Ноя,https://img-gorod.ru/upload/iblock/15d/15da79998ba4cdcf5bd019e5416b5a8d.jpg,0.0,
 2160704 , 9785699277179 ,, 2008 , Эксмо , 432 ,,, Таня Гроттер , Твердая глянцевая ,, 20.8 x 13.5 x 3.2 ,,430981, Емец Д. ,0,Таня Гроттер и трон Древнира,https://img-gorod.ru/upload/iblock/725/725248314a4cdfbdc960980e76f0da42.jpg,0.0,
